BOD level (ppm),Water Quality
3.56,Fair: Moderately Clean. Intake will not affect health.
3.57,Fair: Moderately Clean. Intake will not affect health.
3.61,Fair: Moderately Clean. Intake will not affect health.
3.64,Fair: Moderately Clean. Intake will not affect health.
3.65,Fair: Moderately Clean. Intake will not affect health.
3.68,Fair: Moderately Clean. Intake will not affect health.
3.7,Fair: Moderately Clean. Intake will not affect health.
3.71,Fair: Moderately Clean. Intake will not affect health.
3.78,Fair: Moderately Clean. Intake will not affect health.
3.8,Fair: Moderately Clean. Intake will not affect health.
3.8,Fair: Moderately Clean. Intake will not affect health.
3.9,Fair: Moderately Clean. Intake will not affect health.
3.9,Fair: Moderately Clean. Intake will not affect health.
3.91,Fair: Moderately Clean. Intake will not affect health.
3.98,Fair: Moderately Clean. Intake will not affect health.
4,Fair: Moderately Clean. Intake will not affect health.
4.1,Fair: Moderately Clean. Intake will not affect health.
4.11,Fair: Moderately Clean. Intake will not affect health.
4.13,Fair: Moderately Clean. Intake will not affect health.
4.16,Fair: Moderately Clean. Intake will not affect health.
4.17,Fair: Moderately Clean. Intake will not affect health.
4.2,Fair: Moderately Clean. Intake will not affect health.
4.2,Fair: Moderately Clean. Intake will not affect health.
4.21,Fair: Moderately Clean. Intake will not affect health.
4.26,Fair: Moderately Clean. Intake will not affect health.
4.27,Fair: Moderately Clean. Intake will not affect health.
4.28,Fair: Moderately Clean. Intake will not affect health.
4.35,Fair: Moderately Clean. Intake will not affect health.
4.36,Fair: Moderately Clean. Intake will not affect health.
4.4,Fair: Moderately Clean. Intake will not affect health.
4.5,Fair: Moderately Clean. Intake will not affect health.
4.51,Fair: Moderately Clean. Intake will not affect health.
4.84,Fair: Moderately Clean. Intake will not affect health.
4.87,Fair: Moderately Clean. Intake will not affect health.
4.87,Fair: Moderately Clean. Intake will not affect health.
4.9,Fair: Moderately Clean. Intake will not affect health.
4.9,Fair: Moderately Clean. Intake will not affect health.
4.97,Fair: Moderately Clean. Intake will not affect health.
4.99,Fair: Moderately Clean. Intake will not affect health.
5,Fair: Moderately Clean. Intake will not affect health.
5,Fair: Moderately Clean. Intake will not affect health.
5,Fair: Moderately Clean. Intake will not affect health.
5.01,Fair: Moderately Clean. Intake will not affect health.
5.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.01,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.12,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.37,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.6,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.66,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.7,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.74,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
6.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.12,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.14,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.32,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.36,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.43,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.45,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.6,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.69,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.74,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.77,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.91,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.94,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
7.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.13,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.19,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.21,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.21,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.32,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.36,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.38,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.47,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.54,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.56,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.69,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.88,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.94,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
8.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.01,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.1,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.12,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.21,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.21,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.23,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.4,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.4,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.54,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.61,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.64,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.65,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.67,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.69,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.7,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.74,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.79,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
9.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.11,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.2,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.23,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.29,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.32,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.43,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.62,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.65,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.65,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.72,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.782,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.8,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.87,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.95,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
10.99,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11.5,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
11.98,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.3,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.39,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
12.97,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13.28,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
13.68,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
14.05,"Poor: Somewhat polluted- Usually indicates bacteria is present and microorganisms are decomposing waste. Diarrehea, Stomach Ache, Stomach Infection can occur. Intall Water purifier immediately."
