dB,Effects
83,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
84,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
85,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
86,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
87,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
88,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
88,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
89,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
90,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
90,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
90,"Damage to health. Psychological and vegetative ( i.e. disturbance in stomach-gall function, pains in muscles, high blood measure, disturbance in sleeping, depression etc.) problems can happen at this constant sound level. In a long run hearing aid maybe required."
91,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
91,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
92,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
93,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
94,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
95,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
96,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
97,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
97,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
98,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
99,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
100,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
102,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
103,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
104,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
105,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
106,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
107,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
108,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
109,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
110,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
112,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
113,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
114,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
115,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
116,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
117,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
118,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
119,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
120,"Damages to health and otological (ear diseases) effects at this constant sound level. Hearing aid would definitely be required in near future if sound levels remain constant. Hypertension, ischemic heart disease, annoyance, sleep disturbances, continuous ringing or buzzing sensation called tinnitus, headache, irritation, depression & difficulty in carrying out day-to-day activities. There are a number of hearing aids available these days to help people cope with their hearing deficiencies but in the cases of profound hearing loss surgical intervention are required such as a cochlear implant surgery. Permanent hearing loss can also occur. "
121,Painful effects in the long run at this constant sound level
123,Painful effects in the long run at this constant sound level
124,Painful effects in the long run at this constant sound level
127,Painful effects in the long run at this constant sound level
128,Painful effects in the long run at this constant sound level
131,Painful effects in the long run at this constant sound level
132,Painful effects in the long run at this constant sound level
135,Painful effects in the long run at this constant sound level
135,Painful effects in the long run at this constant sound level
137,Painful effects in the long run at this constant sound level
138,Painful effects in the long run at this constant sound level
139,Painful effects in the long run at this constant sound level
140,Painful effects in the long run at this constant sound level
141,Painful effects in the long run at this constant sound level
142,Painful effects in the long run at this constant sound level
146,Painful effects in the long run at this constant sound level
146,Painful effects in the long run at this constant sound level
146,Painful effects in the long run at this constant sound level
148,Painful effects in the long run at this constant sound level
149,Painful effects in the long run at this constant sound level
151,Painful effects in the long run at this constant sound level
153,Painful effects in the long run at this constant sound level
154,Painful effects in the long run at this constant sound level
155,Painful effects in the long run at this constant sound level
160,Painful effects in the long run at this constant sound level
170,Painful effects in the long run at this constant sound level
172,Painful effects in the long run at this constant sound level
179,Painful effects in the long run at this constant sound level
180,Painful effects in the long run at this constant sound level
195,Painful effects in the long run at this constant sound level
